iter	Passed	Remaining
1541	75872	416166
1542	75924	416131
1543	75972	416076
1544	76020	416021
1545	76068	415964
1546	76115	415906
1547	76160	415831
1548	76211	415792
1549	76262	415755
1550	76306	415675
1551	76353	415614
1552	76400	415554
1553	76452	415521
1554	76495	415439
1555	76543	415381
1556	76594	415344
1557	76640	415277
1558	76699	415277
1559	76744	415206
1560	76795	415167
1561	76836	415075
1562	76886	415031
1563	76936	414983
1564	76978	414897
1565	77024	414832
1566	77066	414742
1567	77115	414694
1568	77157	414602
1569	77211	414581
1570	77255	414506
1571	77301	414435
1572	77345	414363
1573	77396	414323
1574	77449	414292
1575	77502	414263
1576	77552	414217
1577	77601	414171
1578	77647	414102
1579	77691	414029
1580	77741	413981
1581	77802	413996
1582	77845	413913
1583	77894	413865
1584	77937	413780
1585	77990	413752
1586	78035	413681
1587	78089	413658
1588	78144	413639
1589	78202	413638
1590	78255	413605
1591	78299	413532
1592	78349	413485
1593	78404	413466
1594	78446	413381
1595	78491	413308
1596	78538	413251
1597	78584	413184
1598	78630	413117
1599	78669	413016
1600	78715	412947
1601	78757	412861
1602	78807	412815
1603	78875	412867
1604	78936	412881
1605	78981	412808
1606	79020	412705
1607	79069	412657
1608	79119	412611
1609	79170	412571
1610	79223	412540
1611	79264	412452
1612	79313	412401
1613	79355	412316
1614	79405	412270
1615	79443	412162
1616	79495	412125
1617	79546	412086
1618	79593	412028
1619	79636	411947
1620	79682	411882
1621	79734	411849
1622	79786	411812
1623	79841	411793
1624	79889	411739
1625	79948	411740
1626	80010	411757
1627	80051	411665
1628	80098	411605
1629	80140	411517
1630	80192	411486
1631	80230	411378
1632	80274	411302
1633	80319	411234
1634	80370	411193
1635	80409	411091
1636	80459	411047
1637	80508	410997
1638	80569	411006
1639	80615	410941
1640	80667	410906
1641	80717	410863
1642	80763	410798
1643	80814	410758
1644	80868	410731
1645	80913	410663
1646	80963	410618
1647	81010	410557
1648	81065	410540
1649	81109	410464
1650	81163	410440
1651	81206	410359
1652	81253	410298
1653	81306	410270
1654	81354	410211
1655	81400	410147
1656	81448	410092
1657	81498	410046
1658	81548	410001
1659	81597	409951
1660	81644	409896
1661	81690	409828
